case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
narrow_centered,3.621854679308515e-05,27.952812141289982,PI-NODE-2state,10,11,30.368338790530313,1.4324032899540884,0.00033937377536498464
narrow_centered,0.0022054625645657215,9.644859994908316,PI-NODE-2state,10,12,17.08238667822413,4.705506268300745,0.0021123554634153636
narrow_centered,0.0007650199521397935,10.810220072147134,PI-NODE-2state,10,13,19.035726922147106,2.915288242490193,0.0005234051382054688
narrow_centered,0.00018137739606078487,25.493122369603952,PI-NODE-2state,10,14,30.19808943530551,2.085639659778264,0.00041699239294227115
narrow_centered,0.000602999947506984,17.91497707586606,PI-NODE-2state,10,15,22.810666142265315,2.808338064991258,0.0006186337309058621
narrow_centered,0.0005251889202702164,26.225433057398305,PI-NODE-2state,10,16,29.33003719497158,2.773326010599408,0.0007588627741655825
narrow_centered,0.001280959515466424,31.882262994043316,PI-NODE-2state,10,17,35.75810330734146,3.675655109528137,0.0011761176286102044
narrow_centered,0.00020737321613792853,16.75729735397311,PI-NODE-2state,10,18,23.838864082760004,1.7820825363030632,0.00036497955280115
narrow_centered,0.0005245954106729335,25.0525873106272,PI-NODE-2state,10,19,29.12006092588192,2.7681772145730537,0.0002845983570847668
slight_shift_full_beam,0.0001433225323550441,34.781224890080786,PI-NODE-2state,10,0,37.93763235178121,2.1011764153824966,0.0001623957364451644
slight_shift_full_beam,0.0003939738751928697,31.209127436635523,PI-NODE-2state,10,1,36.047674461262886,2.8486619316309634,0.0006661131264235232
slight_shift_full_beam,0.0007448479111985454,30.628855207002758,PI-NODE-2state,10,2,34.95680427762803,2.7364113720781313,0.0004703279719475463
slight_shift_full_beam,0.0015872728212723525,27.81989967427478,PI-NODE-2state,10,3,32.34986734384588,5.024062354761519,0.0016500279695347737
slight_shift_full_beam,0.0017606774307817913,32.8012338562692,PI-NODE-2state,10,4,36.106656231224896,5.717765955421332,0.0017569602026350033
slight_shift_full_beam,0.0007672521799983247,36.402147847608674,PI-NODE-2state,10,5,38.316464410683935,3.961665579909976,0.0011034382683221473
